Chapter,Question,OptionA,OptionB,OptionC,OptionD,Answer
Chapter01,What system provides the basic source of power for nearly all speech sounds?,The pharynx,The respiratory system pushing air out of the lungs,The tongue,The vocal folds,B
Chapter01,Sounds produced when the vocal folds are vibrating are said to be what?,Voiceless,Fricatives,Voiced,Aspirated,C
Chapter01,"The articulatory closure in which air is completely obstructed from escaping through the mouth but is able to escape through the nose (e.g., [m], [n]) is called a(n):",Oral stop,Fricative,Approximant,Nasal stop,D
Chapter01,"Which place of articulation is made by bringing the lower lip near the upper front teeth (e.g., [f], [v])?",Bilabial,Dental,Labiodental,Alveolar,C
Chapter01,What is the term for a transcription that records all—and only—the sound variations that cause a difference in meaning?,Impressionistic transcription,Narrow transcription,Phonemic transcription,Allophonic transcription,C
Chapter01,"What type of sound distribution occurs when phonetic variants (allophones) never appear in the same environment (e.g., syllable initial vs. syllable final [l])?",Free variation,Contrastive distribution,Broad transcription,Complementary distribution,D
Chapter01,What name is given to the natural class of sounds formed by stops and fricatives due to their shared articulatory feature of obstruction?,Approximants,Sonorants,Obstruents,Affricates,C
Chapter01,"What phonetic phenomenon occurs when a stop, like /t/ or /k/, is followed by a period of voicelessness before the start of the following vowel (e.g., tie)?",Voicing,Labialization,Aspiration,Lateral plosion,C
Chapter01,"When words like nap and nab are compared, the vowel is consistently much shorter before which type of final consonant?",The voiced consonant /b/,The voiceless consonant /p/,The nasal consonant /m/,The tap consonant,B
Chapter01,"What happens to alveolar stops, like /t/ or /d/, when they occur between two vowels, the second of which is unstressed (e.g., city or better) for many American English speakers?",They become voiceless stops,They become nasal taps,They become voiced taps,They become affricates,C
Chapter01,What mechanism is illustrated when the air pressure built up behind a stop closure (like in d) is released through the nose due to the lowering of the soft palate for the following nasal (like in n in sadden)?,Lateral plosion,Velarization,Nasalization,Nasal plosion,D
Chapter01,"What is the primary characteristic of the velarized allophone of /l/, written as [ : ], found at the end of words like feel or ball?",The tongue tip is lowered.,The back of the tongue is arched upward.,It becomes completely voiceless.,Air escapes through the nose.,B
Chapter01,"Which type of gestural overlapping occurs when a second gesture starts during the first gesture, such as lip rounding during [k] in coo?",Perseverative assimilation,Regressive assimilation,Anticipatory coarticulation,Downstepped articulation,C
Chapter01,"When phoneticians describe vowels using terms like high, low, front, and back, what are they primarily describing?",The degree of lip rounding,The muscular tension of the tongue,The height of the jaw,Auditory qualities (acoustic properties),D
Chapter01,"What kind of syllable restriction is key to distinguishing the tense vowels (e.g., [i], [u]) from the lax vowels (e.g., [I], [Á]) in English?",Lax vowels cannot occur in syllables closed by /r/.,Tense vowels cannot occur in syllables closed by /n/.,Lax vowels cannot occur in stressed open syllables.,Tense vowels are always nasalized.,C
Chapter01,"What is the phonetic feature that describes the characteristic r-coloring of a vowel, such as the vowel in sir [„]?",Velarization,Rhotacization,Labialization,Nasalization,B
Chapter01,"A sound composed of a sequence of a stop immediately followed by a fricative, functioning as a single unit (like the start of church), is known as a(n):",Obstruent,Approximant,Affricate,Bilabial,C
Chapter01,"What does the diacritic […], the triangular symbol placed after a vowel, indicate?",That the sound is nasalized,That the sound is voiceless,That the sound is longer,That the sound is dental,C
Chapter01,"What is the most common unstressed vowel in English, occurring frequently in grammatical words like a, the, and to?",[i],[E] (schwa),[Á],[u],B
